step,time_s,ball_x,ball_y,radius_m,core_z_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
10,0.1,0.2223,0.1353,0.2603,0.1883,1.7397,0.2342,0.18,move,roam_forward_cruise,0
20,0.2,0.2565,0.1332,0.289,0.1866,1.711,0.4398,0.3845,move,roam_forward_cruise,0
30,0.3,0.3129,0.1344,0.3405,0.187,1.6595,0.5696,0.5308,move,roam_forward_cruise,0
40,0.4,0.3726,0.1361,0.3966,0.1851,1.6034,0.6823,0.636,move,roam_forward_cruise,0
50,0.5,0.437,0.1394,0.4587,0.1826,1.5413,0.6642,0.6432,move,roam_forward_cruise,0
60,0.6,0.4915,0.1438,0.5121,0.19,1.4879,0.3139,0.3138,move,roam_forward_cruise,0
70,0.7,0.5056,0.1576,0.5296,0.1919,1.4704,0.1627,0.0863,move,roam_forward_cruise,0
80,0.8,0.5042,0.1721,0.5327,0.1904,1.4673,0.1191,0.0579,move,roam_forward_cruise,0
90,0.9,0.5072,0.1827,0.5391,0.1869,1.4609,0.108,0.0418,move,roam_forward_cruise,0
100,1.0,0.5044,0.1958,0.5411,0.1827,1.4589,0.1006,0.0143,curve,roam_curve_left,0
110,1.1,0.5006,0.2077,0.542,0.1817,1.458,0.1357,0.0014,curve,roam_curve_left,0
120,1.2,0.4986,0.2168,0.5437,0.1811,1.4563,0.0964,0.0254,curve,roam_curve_left,0
130,1.3,0.4975,0.2262,0.5465,0.1801,1.4535,0.0809,0.0297,curve,roam_curve_left,0
140,1.4,0.4977,0.2334,0.5497,0.1794,1.4503,0.0685,0.0381,curve,roam_curve_left,0
150,1.5,0.4999,0.2455,0.5569,0.1847,1.4431,0.167,0.0961,curve,roam_curve_left,0
160,1.6,0.5035,0.2672,0.57,0.1829,1.43,0.2669,0.1548,curve,roam_curve_left,0
170,1.7,0.5057,0.2969,0.5864,0.1821,1.4136,0.3298,0.1723,curve,roam_curve_left,0
180,1.8,0.5099,0.3325,0.6088,0.1837,1.3912,0.3672,0.243,turn,roam_pivot_turn,0
190,1.9,0.5222,0.3693,0.6396,0.1876,1.3604,0.4517,0.4209,turn,roam_pivot_turn,0
200,2.0,0.5348,0.4084,0.6729,0.1852,1.3271,0.4097,0.3154,turn,roam_pivot_turn,0
210,2.1,0.5455,0.4496,0.7069,0.185,1.2931,0.4353,0.3668,turn,roam_pivot_turn,0
220,2.2,0.5645,0.4919,0.7487,0.1823,1.2513,0.4754,0.4523,turn,roam_pivot_turn,0
230,2.3,0.5894,0.5296,0.7924,0.1874,1.2076,0.4433,0.4337,stop,roam_stance_pause,0
