time_s,step,sub_skill,x_m,y_m,z_m,vx_m_s,vy_m_s,speed_m_s,cross_track_error_cm,curvature_1_m,heading_err_deg,dist_to_goal_m
0.0,0,move,0.014286937098436536,-0.009986673436370542,0.21363786026197884,0.05935117589830541,-0.06076620163837996,0.08494170555191272,0.9986673436370542,0.0,0.6846452815232738,7.785719658547708
0.01,1,move,0.016469593147818016,-0.010194548445696507,0.21306157598322298,0.32303136715204256,-0.001689484129159334,0.3230357852014857,1.0194548445696507,0.0,1.0003843898820364,7.783537273784443
0.02,2,move,0.017679018439097933,-0.010790721127571798,0.21128789382495364,0.029420021775818872,-0.06183732498984293,0.06847913874450459,1.0790721127571798,0.0,0.7427761119119732,7.782328653328989
0.03,3,move,0.019299924486320254,-0.011140491228021738,0.20925286551293662,0.23428756333625808,-0.03311475830518447,0.23661624955114965,1.1140491228021738,0.0,8.813375550219694,7.780708241782682
0.04,4,move,0.01990956244385849,-0.011138467394675033,0.20623933394928545,0.028022249931194218,-0.0021593863320279235,0.02810532761839405,1.1138467394675033,0.0,0.7687702986885073,7.780098601552387
0.05,5,move,0.021782926506366162,-0.011711843410048918,0.2042832235707273,0.3138715464191823,-0.051221327690542315,0.3180235401066261,1.1711843410048919,0.0,10.07867845612761,7.778226081621587
0.06,6,move,0.023399824473173382,-0.011332854047666487,0.20250212309546056,0.170445815116455,0.04244692492209978,0.1756516932057734,1.1332854047666487,0.0,0.7854874050916898,7.776608623951852
0.07,7,move,0.026657818463349477,-0.011777361386399336,0.20213114532952403,0.44914421782951075,-0.05498534587534323,0.4524974217282504,1.1777361386399336,0.0,7.799083183068556,7.773351294184057
0.08,8,move,0.030349934102789626,-0.011005677711938432,0.20237787702082663,0.37002324709114776,0.09773471758923373,0.3827130496992804,1.1005677711938433,0.0,-14.026428912224263,7.769658051376826
0.09,9,move,0.034078186626267506,-0.011952669013352618,0.20206311788606032,0.3972561124224254,-0.148264250681429,0.42402205943453497,1.195266901335262,0.0,21.305903211095238,7.765931202386138
0.1,10,move,0.038186944439324175,-0.010918714981691368,0.20098960994391465,0.4366060483272606,0.15831568898661272,0.46442297403902416,1.0918714981691369,0.0,-19.160345801279977,7.761820926091103
0.11,11,move,0.04217773963483498,-0.011742491556179279,0.19889037177202884,0.4149987318965861,-0.14236187716504506,0.43873779361451176,1.174249155617928,0.0,19.7668986646477,7.757831338002883
0.12,12,move,0.04640414117147604,-0.010641265494685458,0.19585827340490275,0.44715442780314624,0.16215463271830002,0.4756481969018341,1.064126549468546,0.0,-19.17383615104073,7.75360335175435
0.13,13,move,0.050221169697906666,-0.011308576326695635,0.19203731924387074,0.3805855185738436,-0.11246988573589364,0.39685616052364164,1.1308576326695634,0.0,17.184440239972893,7.749787271841922
0.14,14,move,0.054970697415826296,-0.01007703523194001,0.18837394648078565,0.5424189403332167,0.18257818227249129,0.5723225484585914,1.007703523194001,0.0,-17.95725682232083,7.745036048916803
0.15,15,move,0.06019010790369838,-0.010370370037258323,0.1866317740732515,0.5445293107669676,-0.07537600496355232,0.5497214862169881,1.0370370037258323,0.0,8.549716978226787,7.739817030322466
0.16,16,move,0.06647360339516883,-0.008823982926900755,0.18593868237970207,0.7145185486536102,0.20559983748898797,0.7435106250387816,0.8823982926900755,0.0,-15.479931770532778,7.733531621436912
0.17,17,move,0.07281068801011502,-0.009330220337605647,0.18606796121748592,0.6203787245886256,-0.09407716761509433,0.6274713343163083,0.9330220337605647,0.0,9.233189971778192,7.727195135625286
0.18,18,move,0.07958378803669887,-0.0077357648944519,0.18619821908176773,0.7499369870726756,0.1990129401560611,0.7758940874431267,0.77357648944519,0.0,-14.352247449404361,7.720420278269142
0.19,19,move,0.08616365489252446,-0.008349343258821936,0.1862052395671055,0.6420115300756095,-0.09206520912844082,0.6485790680263193,0.8349343258821936,0.0,8.715230754880993,7.713841054444211
0.2,20,move,0.09289708397807094,-0.006905749644689866,0.18622150985432262,0.7494388468760761,0.17436240206351347,0.76945489306411,0.6905749644689866,0.0,-12.634972093180634,7.707106200615012
0.21,21,move,0.09980345101445678,-0.007574899846446147,0.18627649152504006,0.6919892143654929,-0.12244786180765324,0.7027393198472945,0.7574899846446147,0.0,10.545875352551706,7.700200465540392
0.22,22,move,0.10672816377044804,-0.006206274669448666,0.18686363943698903,0.7860576446906458,0.182367816308458,0.8069353389223457,0.6206274669448666,0.0,-12.639410817566143,7.693274530310123
0.23,23,move,0.11358058229058736,-0.006647889872291317,0.18815946145089396,0.6739743731656358,-0.0981888443788845,0.6810892047628361,0.6647889872291317,0.0,8.744966197583906,7.686422483282871
0.24,24,move,0.12145048821971911,-0.005390845890389882,0.1892606721006676,0.8796383646926254,0.1715810237799464,0.8962163245335865,0.5390845890389881,0.0,-10.664090853170125,7.678551594878739
0.25,25,move,0.12928524957993465,-0.005974871013897542,0.19016460399649585,0.7450117400418943,-0.11935218439613429,0.7545113893907632,0.5974871013897541,0.0,9.519302370477282,7.670717268126957
0.26,26,move,0.13740868653681848,-0.00467122726415429,0.19018409945524747,0.9011789440796181,0.18483355265407267,0.9199385476428201,0.46712272641542896,0.0,-11.26085319506271,7.662592928021963
