time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact,x_cm,vx_cm_s
1.000000000000000021e-02,0.000000000000000000e+00,1.991688715253405917e+01,3.793786355002062738e+00,1.000000000000000000e+00,2.455312440099069460e-01,3.565997972428007046e+01
2.000000000000000042e-02,0.000000000000000000e+00,1.992807045297680801e+01,-1.530364131052508458e+00,1.000000000000000000e+00,4.200379027559063561e-01,6.870064846279221982e+00
2.999999999999999889e-02,0.000000000000000000e+00,1.997909138029154619e+01,7.856495826422636775e+00,1.000000000000000000e+00,6.119059885863260551e-01,2.739582339066810590e+01
4.000000000000000083e-02,0.000000000000000000e+00,2.002738632733191793e+01,3.167262449180075490e-01,1.000000000000000000e+00,8.186470338242928246e-01,1.562221777089687436e+01
5.000000000000000278e-02,0.000000000000000000e+00,2.003320215468206555e+01,5.000190560501428100e-02,1.000000000000000000e+00,1.042400364988630646e+00,2.652392929360962626e+01
6.000000000000000472e-02,0.000000000000000000e+00,2.002808599110509746e+01,-3.070432737507536203e+00,1.000000000000000000e+00,1.269644265762261748e+00,2.359864771733620969e+01
6.999999999999999278e-02,0.000000000000000000e+00,2.002239147919055995e+01,8.257975619827556679e-01,1.000000000000000000e+00,1.530116033799932440e+00,2.776353030306983172e+01
8.000000000000000167e-02,0.000000000000000000e+00,2.004941546442836398e+01,2.880159418073199085e+00,1.000000000000000000e+00,1.887869901697929897e+00,3.803358259320132362e+01
8.999999999999999667e-02,0.000000000000000000e+00,2.009866823534486358e+01,5.887364392123385137e+00,1.000000000000000000e+00,2.306373647276285244e+00,4.480529951186931470e+01
9.999999999999999167e-02,0.000000000000000000e+00,2.016684825617658205e+01,6.660539425862720186e+00,1.000000000000000000e+00,2.799280036291693641e+00,5.186527856459266417e+01
1.100000000000000006e-01,0.000000000000000000e+00,2.024997467238950577e+01,8.644642695538431454e+00,1.000000000000000000e+00,3.334804246331664945e+00,5.430778953104289286e+01
1.199999999999999956e-01,0.000000000000000000e+00,2.035996616044522511e+01,1.141586502347264087e+01,1.000000000000000000e+00,3.971270118575862540e+00,6.932238365775519640e+01
1.300000000000000044e-01,0.000000000000000000e+00,2.045085405762491249e+01,6.320368156762270928e+00,0.000000000000000000e+00,4.649282813921385760e+00,6.610915381007340841e+01
1.400000000000000133e-01,0.000000000000000000e+00,2.045292221964859181e+01,-4.566482227592805643e+00,1.000000000000000000e+00,5.350150949867348515e+00,7.237249255757073740e+01
1.500000000000000222e-01,0.000000000000000000e+00,2.038756932382140619e+01,-8.601985668207840163e+00,1.000000000000000000e+00,6.037033638534299307e+00,6.825950041577915783e+01
1.600000000000000033e-01,0.000000000000000000e+00,2.027495183769329046e+01,-1.462591602762182141e+01,0.000000000000000000e+00,6.783330966763309711e+00,7.785874104617924729e+01
1.700000000000000122e-01,0.000000000000000000e+00,2.008441930249581020e+01,-2.223875588622914279e+01,1.000000000000000000e+00,7.531488553900092420e+00,7.271056003785557209e+01
1.800000000000000211e-01,0.000000000000000000e+00,1.983216509899661872e+01,-2.712431691850573046e+01,1.000000000000000000e+00,8.291946657831752887e+00,7.535186332837182022e+01
1.900000000000000022e-01,0.000000000000000000e+00,1.951817006276922228e+01,-3.476245387510719809e+01,1.000000000000000000e+00,9.083442033333396282e+00,8.147645372972300493e+01
2.000000000000000111e-01,0.000000000000000000e+00,1.915038886016189323e+01,-3.807381930346481624e+01,1.000000000000000000e+00,9.868267290003341685e+00,7.730316914742071788e+01
2.100000000000000200e-01,0.000000000000000000e+00,1.879653864127774554e+01,-3.385941823281029173e+01,1.000000000000000000e+00,1.070029433325688828e+01,8.697259158567469228e+01
2.200000000000000011e-01,0.000000000000000000e+00,1.852250423570102456e+01,-2.349586834456394158e+01,1.000000000000000000e+00,1.157308929180433132e+01,8.744155027765808086e+01
2.300000000000000100e-01,0.000000000000000000e+00,1.836937109654406441e+01,-1.073691337927493983e+01,1.000000000000000000e+00,1.252061216637187258e+01,9.941557070153604059e+01
2.400000000000000189e-01,0.000000000000000000e+00,1.835264046942682725e+01,2.652874254703088130e+00,1.000000000000000000e+00,1.349572454272257360e+01,9.537341445730312728e+01
2.500000000000000000e-01,0.000000000000000000e+00,1.840139789810573490e+01,4.706430761550320696e+00,1.000000000000000000e+00,1.453704600748124065e+01,1.064732830357319102e+02
2.600000000000000089e-01,0.000000000000000000e+00,1.844787830906447113e+01,4.561515038781192466e+00,1.000000000000000000e+00,1.557425042033942297e+01,1.021688943753160004e+02
2.700000000000000178e-01,0.000000000000000000e+00,1.850727812908421299e+01,4.566320292188638774e+00,1.000000000000000000e+00,1.664563589519195475e+01,1.098548575052443113e+02
2.800000000000000266e-01,0.000000000000000000e+00,1.857015720011481363e+01,6.937187730887845127e+00,1.000000000000000000e+00,1.770225874055561732e+01,1.024733202444191704e+02
2.900000000000000355e-01,0.000000000000000000e+00,1.862146296999470252e+01,2.956918898754508085e+00,1.000000000000000000e+00,1.880877361474556508e+01,1.124658587138658987e+02
2.999999999999999889e-01,0.000000000000000000e+00,1.865484896118733360e+01,3.163500807570270190e+00,1.000000000000000000e+00,1.990721634062961698e+01,1.080612269053418117e+02
3.099999999999999978e-01,0.000000000000000000e+00,1.866856541354306387e+01,5.645524458889610298e-01,1.000000000000000000e+00,2.102537206459674834e+01,1.116508107777355292e+02
3.200000000000000067e-01,0.000000000000000000e+00,1.867318337870597489e+01,-4.237244511971600125e-01,1.000000000000000000e+00,2.212092595157946207e+01,1.077713602591122424e+02
3.300000000000000155e-01,0.000000000000000000e+00,1.865774194002524311e+01,-3.357851990630809080e+00,1.000000000000000000e+00,2.324448605820795777e+01,1.149534281358975534e+02
3.400000000000000244e-01,0.000000000000000000e+00,1.860882347145574300e+01,-6.048692506215864739e+00,1.000000000000000000e+00,2.436013293613610742e+01,1.095843831075211199e+02
3.500000000000000333e-01,0.000000000000000000e+00,1.856041442711511991e+01,-5.055104533016232082e+00,1.000000000000000000e+00,2.547370482679673387e+01,1.120313203218805853e+02
3.600000000000000422e-01,0.000000000000000000e+00,1.851691724109483772e+01,-4.410862845450838954e+00,1.000000000000000000e+00,2.659602974564934641e+01,1.123813988577885539e+02
3.699999999999999956e-01,0.000000000000000000e+00,1.846555563745114625e+01,-7.132677304637984328e+00,1.000000000000000000e+00,2.774993588149705559e+01,1.172984170068565675e+02
3.800000000000000044e-01,0.000000000000000000e+00,1.840626089576971225e+01,-6.605089491571039417e+00,1.000000000000000000e+00,2.887362396188891722e+01,1.112137755595418867e+02
3.900000000000000133e-01,0.000000000000000000e+00,1.835894417435797976e+01,-4.345702219127198340e+00,1.000000000000000000e+00,3.002982303127681973e+01,1.180858026944051886e+02
4.000000000000000222e-01,0.000000000000000000e+00,1.830958854743659359e+01,-6.545881434464482673e+00,1.000000000000000000e+00,3.120381599399426520e+01,1.172812190120011451e+02
4.100000000000000311e-01,0.000000000000000000e+00,1.824436331366230135e+01,-6.853663423255689224e+00,1.000000000000000000e+00,3.237040072766547638e+01,1.162039979606213365e+02
4.200000000000000400e-01,0.000000000000000000e+00,1.819309351947572395e+01,-4.411167666986778535e+00,1.000000000000000000e+00,3.352660847089871510e+01,1.152742259951188970e+02
4.299999999999999933e-01,0.000000000000000000e+00,1.818524213567188852e+01,1.223186832013778869e+00,1.000000000000000000e+00,3.465631466184523646e+01,1.113251372072784591e+02
4.400000000000000022e-01,0.000000000000000000e+00,1.823446005188598207e+01,6.332005900814771771e+00,1.000000000000000000e+00,3.580958958674816728e+01,1.177451970882255239e+02
4.500000000000000111e-01,0.000000000000000000e+00,1.833194240325218516e+01,9.733498668933648901e+00,1.000000000000000000e+00,3.698383982705732365e+01,1.185022743330756754e+02
4.600000000000000200e-01,0.000000000000000000e+00,1.841424007712817001e+01,6.769839118875397688e+00,1.000000000000000000e+00,3.815938223033199250e+01,1.175432588220539429e+02
4.700000000000000289e-01,0.000000000000000000e+00,1.845389943966268831e+01,9.979430158261514139e-01,1.000000000000000000e+00,3.931506758392885104e+01,1.137977815310218261e+02
4.800000000000000377e-01,0.000000000000000000e+00,1.843079347258463230e+01,-5.342424358548798935e+00,1.000000000000000000e+00,4.049519808329917225e+01,1.201006388336795823e+02
4.899999999999999911e-01,0.000000000000000000e+00,1.836900696073710293e+01,-6.638968619570054130e+00,1.000000000000000000e+00,4.166364278745195548e+01,1.147818642900329706e+02
5.000000000000000000e-01,0.000000000000000000e+00,1.830538889332528996e+01,-6.957281173128385454e+00,1.000000000000000000e+00,4.283691482465739853e+01,1.189863472341731239e+02
5.100000000000000089e-01,0.000000000000000000e+00,1.825890664559511833e+01,-3.813859971669992355e+00,1.000000000000000000e+00,4.401584673572906325e+01,1.175537176196723550e+02
5.200000000000000178e-01,0.000000000000000000e+00,1.825143666703032252e+01,6.534971596586224285e-01,1.000000000000000000e+00,4.518981935627068935e+01,1.172756893771321955e+02
5.300000000000000266e-01,0.000000000000000000e+00,1.827547565122575790e+01,1.993057415411308986e+00,1.000000000000000000e+00,4.636081494517447510e+01,1.167710896207772464e+02
5.400000000000000355e-01,0.000000000000000000e+00,1.830098585832780955e+01,2.501891600646386493e+00,1.000000000000000000e+00,4.750365885284219303e+01,1.123344345591967794e+02
5.500000000000000444e-01,0.000000000000000000e+00,1.831679678771503816e+01,-1.201143189842861947e+00,1.000000000000000000e+00,4.866023829497683550e+01,1.179221520345614636e+02
5.600000000000000533e-01,0.000000000000000000e+00,1.828603744107260809e+01,-4.545670069080244957e+00,1.000000000000000000e+00,4.981018193276364769e+01,1.132116496488606572e+02
5.700000000000000622e-01,0.000000000000000000e+00,1.821784291276197365e+01,-9.105809572663186913e+00,1.000000000000000000e+00,5.097863130922688413e+01,1.188419139296593983e+02
5.800000000000000711e-01,0.000000000000000000e+00,1.813834079603092775e+01,-7.499153653410717268e+00,1.000000000000000000e+00,5.216196687562225520e+01,1.185381581199191885e+02
5.899999999999999689e-01,0.000000000000000000e+00,1.810010613900467646e+01,-1.679312286644854879e+00,1.000000000000000000e+00,5.332687462095316988e+01,1.150367056939894468e+02
5.999999999999999778e-01,0.000000000000000000e+00,1.812205170420737943e+01,3.354178847305291811e+00,1.000000000000000000e+00,5.451467678639158976e+01,1.211072519004409003e+02
6.099999999999999867e-01,0.000000000000000000e+00,1.818421210729933435e+01,6.058198583777938850e+00,1.000000000000000000e+00,5.570539828849631192e+01,1.205481043094852822e+02
6.199999999999999956e-01,0.000000000000000000e+00,1.824326159514670564e+01,5.544655145396388818e+00,1.000000000000000000e+00,5.690052591918417590e+01,1.188048507473030639e+02
6.300000000000000044e-01,0.000000000000000000e+00,1.829862167299200593e+01,4.595752289059927165e+00,1.000000000000000000e+00,5.808399820912663358e+01,1.179372552133613112e+02
6.400000000000000133e-01,0.000000000000000000e+00,1.834060873913345091e+01,3.377655608115649688e+00,1.000000000000000000e+00,5.926065321892295401e+01,1.173766251516522630e+02
6.500000000000000222e-01,0.000000000000000000e+00,1.837215855418187616e+01,2.547793605745969803e+00,1.000000000000000000e+00,6.043281011049265317e+01,1.171701377762684189e+02
6.600000000000000311e-01,0.000000000000000000e+00,1.839525030473215494e+01,3.444665221962360802e-01,1.000000000000000000e+00,6.156437135750154255e+01,1.121189745112702241e+02
6.700000000000000400e-01,0.000000000000000000e+00,1.837290509828093832e+01,-4.792340159522400000e+00,1.000000000000000000e+00,6.272967118516533702e+01,1.186730778466052385e+02
6.800000000000000488e-01,0.000000000000000000e+00,1.832376467462113823e+01,-5.294756251398351488e+00,1.000000000000000000e+00,6.388708810448976294e+01,1.138764489727660703e+02
6.900000000000000577e-01,0.000000000000000000e+00,1.828402306623189588e+01,-4.429973982847959846e+00,1.000000000000000000e+00,6.506413868357505237e+01,1.197847545888678980e+02
7.000000000000000666e-01,0.000000000000000000e+00,1.826618644740379693e+01,-5.194117681123456842e-01,1.000000000000000000e+00,6.625710824088025674e+01,1.192892320188445439e+02
7.100000000000000755e-01,0.000000000000000000e+00,1.829935375090479965e+01,4.677893862241262468e+00,1.000000000000000000e+00,6.744914708900358846e+01,1.191978293148403907e+02
7.199999999999999734e-01,0.000000000000000000e+00,1.836693835663161423e+01,6.566643729700078147e+00,1.000000000000000000e+00,6.861646270674273751e+01,1.146681511667546118e+02
7.299999999999999822e-01,0.000000000000000000e+00,1.842282995192179129e+01,3.658407662985181830e+00,1.000000000000000000e+00,6.979272966735332773e+01,1.198279674494675788e+02
7.399999999999999911e-01,0.000000000000000000e+00,1.844848587345870783e+01,1.688670745037156751e+00,1.000000000000000000e+00,7.095975973505369438e+01,1.147198547914428843e+02
7.500000000000000000e-01,0.000000000000000000e+00,1.844719600779973945e+01,-2.134200410766914580e+00,1.000000000000000000e+00,7.214015528641492381e+01,1.197486247982511003e+02
7.600000000000000089e-01,0.000000000000000000e+00,1.842398852161480249e+01,-3.660284129603684988e+00,1.000000000000000000e+00,7.331422674055595223e+01,1.183260717109408660e+02
7.700000000000000178e-01,0.000000000000000000e+00,1.839238820632552063e+01,-3.986077281237184078e+00,1.000000000000000000e+00,7.449907726326505042e+01,1.182706631386160296e+02
7.800000000000000266e-01,0.000000000000000000e+00,1.835183043801621849e+01,-5.199599126138576999e+00,1.000000000000000000e+00,7.568489340024295586e+01,1.188066055780719950e+02
7.900000000000000355e-01,0.000000000000000000e+00,1.828055536001152959e+01,-8.640231501449713747e+00,1.000000000000000000e+00,7.687084077743018895e+01,1.185528628966197289e+02
8.000000000000000444e-01,0.000000000000000000e+00,1.819697541438145905e+01,-8.295115395542811854e+00,1.000000000000000000e+00,7.803050373159469189e+01,1.141593011175836523e+02
8.100000000000000533e-01,0.000000000000000000e+00,1.812996665974311838e+01,-6.396513202462354997e+00,1.000000000000000000e+00,7.920274984660572670e+01,1.190779230970961748e+02
8.200000000000000622e-01,0.000000000000000000e+00,1.810907889080893440e+01,5.441913045680639716e-01,1.000000000000000000e+00,8.034380060598913076e+01,1.105509607435545263e+02
8.300000000000000711e-01,0.000000000000000000e+00,1.814307072073164306e+01,4.441485151046502544e+00,1.000000000000000000e+00,8.154081060509538759e+01,1.221506626241031199e+02
8.400000000000000799e-01,0.000000000000000000e+00,1.822210372330920336e+01,8.328250194803580087e+00,1.000000000000000000e+00,8.275416298973965468e+01,1.220158485871690033e+02
8.499999999999999778e-01,0.000000000000000000e+00,1.831071073514251069e+01,8.769921690927507285e+00,1.000000000000000000e+00,8.396811667162648973e+01,1.209642317167555916e+02
8.599999999999999867e-01,0.000000000000000000e+00,1.838878308928301308e+01,5.464540803895760135e+00,1.000000000000000000e+00,8.517693717978558254e+01,1.207029659683016547e+02
8.699999999999999956e-01,0.000000000000000000e+00,1.842284196268446905e+01,1.268467946866895790e+00,1.000000000000000000e+00,8.636845093819627550e+01,1.201496447015878033e+02
8.800000000000000044e-01,0.000000000000000000e+00,1.842547413465048933e+01,-7.901900212811899804e-01,1.000000000000000000e+00,8.757116636522582098e+01,1.200608379610486764e+02
8.900000000000000133e-01,0.000000000000000000e+00,1.841617506380383062e+01,-2.307027950256778315e+00,1.000000000000000000e+00,8.877090611932369768e+01,1.199114851739867760e+02
9.000000000000000222e-01,0.000000000000000000e+00,1.840102232329299170e+01,-1.427304339990619342e+00,1.000000000000000000e+00,8.994775512950870677e+01,1.160283348328689357e+02
9.100000000000000311e-01,0.000000000000000000e+00,1.841232768350753801e+01,1.580422861207936291e+00,1.000000000000000000e+00,9.114597075747705901e+01,1.219937842602645048e+02
9.200000000000000400e-01,0.000000000000000000e+00,1.844918661014891725e+01,4.513482188164432252e+00,1.000000000000000000e+00,9.233828483033644829e+01,1.173823944774465105e+02
9.300000000000000488e-01,0.000000000000000000e+00,1.849891341633572139e+01,4.056534851219863569e+00,1.000000000000000000e+00,9.352357165164434605e+01,1.216190906492271324e+02
9.400000000000000577e-01,0.000000000000000000e+00,1.852251766500677022e+01,3.846580398620146335e-01,1.000000000000000000e+00,9.473309524736836806e+01,1.206297521244371467e+02
9.500000000000000666e-01,0.000000000000000000e+00,1.850831230237457348e+01,-3.523962559714247877e+00,1.000000000000000000e+00,9.593713484539814829e+01,1.200145105928280600e+02
9.600000000000000755e-01,0.000000000000000000e+00,1.846192198413574559e+01,-5.524635441395052027e+00,1.000000000000000000e+00,9.713424061259878783e+01,1.195255965667985976e+02
9.699999999999999734e-01,0.000000000000000000e+00,1.841360417442051300e+01,-4.733070864143494205e+00,1.000000000000000000e+00,9.832803130087184229e+01,1.192838589767053890e+02
9.799999999999999822e-01,0.000000000000000000e+00,1.839114534641279519e+01,-1.143860085492230283e+00,1.000000000000000000e+00,9.949843885819586831e+01,1.152769846875827398e+02
