time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact,x_cm,vx_cm_s
1.000000000000000021e-02,0.000000000000000000e+00,1.613797166101301883e+01,-3.371287794830295052e-03,1.000000000000000000e+00,2.402492323632515747e-03,2.481917081363329836e-01
2.000000000000000042e-02,0.000000000000000000e+00,1.613805091990140994e+01,1.393688100350801151e-02,1.000000000000000000e+00,4.983898725259561235e-03,2.641302075575514552e-01
2.999999999999999889e-02,0.000000000000000000e+00,1.613821740387705717e+01,1.619368957314402946e-02,1.000000000000000000e+00,7.696580403689090577e-03,2.754387637410055656e-01
4.000000000000000083e-02,0.000000000000000000e+00,1.613831541131021652e+01,4.175555789184278756e-03,1.000000000000000000e+00,1.049697799589965896e-02,2.825840304035244777e-01
5.000000000000000278e-02,0.000000000000000000e+00,1.613825915407085176e+01,-1.184727224928175393e-02,1.000000000000000000e+00,1.334613887004135191e-02,2.859942315403661839e-01
6.000000000000000472e-02,0.000000000000000000e+00,1.613807959286340221e+01,-2.051038028647713882e-02,1.000000000000000000e+00,1.620835291495786867e-02,2.859162459485057872e-01
6.999999999999999278e-02,0.000000000000000000e+00,1.613788554545564935e+01,-1.714878625891993330e-02,1.000000000000000000e+00,1.904937256289804259e-02,2.824438799473684147e-01
8.000000000000000167e-02,0.000000000000000000e+00,1.613777861539481151e+01,-5.889937202237539686e-03,1.000000000000000000e+00,2.183574049772207815e-02,2.756696254631071930e-01
8.999999999999999667e-02,0.000000000000000000e+00,1.613778608034387929e+01,4.473687493228023157e-03,1.000000000000000000e+00,2.453571316595390406e-02,2.658311158741047397e-01
9.999999999999999167e-02,0.000000000000000000e+00,1.613785420080658284e+01,7.137036221522217484e-03,1.000000000000000000e+00,2.712102695155982346e-02,2.533451772090986043e-01
1.100000000000000006e-01,0.000000000000000000e+00,1.613789732123230181e+01,1.578378143459935844e-03,1.000000000000000000e+00,2.956823400061953100e-02,2.387192249917354514e-01
1.199999999999999956e-01,0.000000000000000000e+00,1.613786093361700580e+01,-7.066222350064071955e-03,1.000000000000000000e+00,3.185880501624868688e-02,2.224185198052210100e-01
1.300000000000000044e-01,0.000000000000000000e+00,1.613775386406901546e+01,-1.235345452216996161e-02,1.000000000000000000e+00,3.397815158682551684e-02,2.047851328934497395e-01
1.400000000000000133e-01,0.000000000000000000e+00,1.613763273005467980e+01,-1.107876814991084861e-02,1.000000000000000000e+00,3.591440752710173268e-02,1.860526294454041552e-01
1.500000000000000222e-01,0.000000000000000000e+00,1.613755660697870908e+01,-4.934057595584910756e-03,1.000000000000000000e+00,3.765780749895100699e-02,1.664280324891948548e-01
1.600000000000000033e-01,0.000000000000000000e+00,1.613754703729732398e+01,1.388065870979848532e-03,1.000000000000000000e+00,3.920092913670195078e-02,1.461713550194616851e-01
1.700000000000000122e-01,0.000000000000000000e+00,1.613757953864039862e+01,3.826129260241507325e-03,1.000000000000000000e+00,4.053940431377120457e-02,1.256161484574949694e-01
1.800000000000000211e-01,0.000000000000000000e+00,1.613760751714144348e+01,1.596085310498264812e-03,1.000000000000000000e+00,4.167242822356032050e-02,1.051250051864842661e-01
1.900000000000000022e-01,0.000000000000000000e+00,1.613759738311368608e+01,-2.792714749279721995e-03,1.000000000000000000e+00,4.260263101244152195e-02,8.502004635560933554e-02
2.000000000000000111e-01,0.000000000000000000e+00,1.613754935878648311e+01,-5.751381966256295317e-03,1.000000000000000000e+00,4.333537143273030745e-02,6.553856085923517871e-02
2.100000000000000200e-01,0.000000000000000000e+00,1.613749216519664031e+01,-5.206568567617016717e-03,1.000000000000000000e+00,4.387788041110632364e-02,4.683825002677401844e-02
2.200000000000000011e-01,0.000000000000000000e+00,1.613745926020311927e+01,-1.768341384147217605e-03,1.000000000000000000e+00,4.423870005250615800e-02,2.903913393853195871e-02
2.300000000000000100e-01,0.000000000000000000e+00,1.613746551899521009e+01,2.092492542667769278e-03,1.000000000000000000e+00,4.442758041666300395e-02,1.226687832339628387e-02
2.400000000000000189e-01,0.000000000000000000e+00,1.613750002118699101e+01,3.995754561929705691e-03,1.000000000000000000e+00,4.445565317395955285e-02,-3.332567108238225929e-03
2.500000000000000000e-01,0.000000000000000000e+00,1.613753732224842352e+01,3.239726869451479193e-03,1.000000000000000000e+00,4.433554026299635353e-02,-1.761238769224575396e-02
2.600000000000000089e-01,0.000000000000000000e+00,1.613755672129813945e+01,1.007657519091139991e-03,1.000000000000000000e+00,4.408115603300871710e-02,-3.045952079760068723e-02
2.700000000000000178e-01,0.000000000000000000e+00,1.613755526696822429e+01,-7.300631932519668172e-04,1.000000000000000000e+00,4.370721052343179425e-02,-4.181828800177740668e-02
2.800000000000000266e-01,0.000000000000000000e+00,1.613754671826838205e+01,-6.710654233075530588e-04,1.000000000000000000e+00,4.322862685606360111e-02,-5.168825605778937238e-02
