time_s,step,phase,x_m,y_m,z_m,vx_m_s,vz_m_s,vy_m_s
0.0,0,stand,0.01707562457844437,-0.012929787569883241,0.2029684966362131,0.05230381343308473,-0.39437223704483687,-0.055853452789159985
0.01,1,stand,0.01763528563706962,-0.013520967124510367,0.19905829816143872,0.058611456212528196,-0.3807096795754606,-0.06164151421739808
0.02,2,stand,0.018261620703208203,-0.014191364631542736,0.19562508137735504,0.06544652523756046,-0.3116765550936629,-0.0712551315366242
0.03,3,stand,0.0189646818521164,-0.014978564113930693,0.19321476456292835,0.07375094505770849,-0.18801399901149282,-0.08353789090971547
0.04,4,stand,0.019753090489093836,-0.015878266431929126,0.19221879013294502,0.08210694170655647,-0.03971638389769258,-0.09409441049101047
0.05,5,stand,0.020622966214663738,-0.016880416391671756,0.19268595275418393,0.09028549138123672,0.10209009588802921,-0.10444016226323856
0.06,6,stand,0.021579068239163474,-0.01799537337726774,0.19443452287292354,0.09947347370993964,0.21913283748228232,-0.11643661401716114
0.07,7,stand,0.022631001911931712,-0.01923586090130918,0.19714510593485055,0.10860200824176856,0.3004971069903339,-0.12902874241561874
0.08,8,stand,0.023704506993550218,-0.02053675406685119,0.1998542436629078,0.10677539796399915,0.2328825093617244,-0.1303258318360395
0.09,9,stand,0.024772677693820733,-0.021839535934203243,0.20158672015143142,0.10681810577960765,0.1334972891073615,-0.13024727433298033
0.1,10,stand,0.025840701617839145,-0.023141527887716062,0.20232574967134184,0.1067873835271466,0.03420960407999744,-0.13016852123327277
0.11,11,stand,0.026805877092179117,-0.02430423756729239,0.20210269925873728,0.0984085423981227,-0.05916012154759408,-0.11877846856375562
0.12,12,crouch,0.027800062884424246,-0.025497605743808313,0.2010194169358672,0.10017425683652016,-0.13765670283608597,-0.12005561806780365
0.13,13,crouch,0.028864779781997068,-0.02670890064867903,0.19776253284059578,0.10548703657702316,-0.33490027648194304,-0.12149059421775821
