time_s,phase,core_height_cm,vertical_speed_cm_s,ground_contact
1.000000000000000021e-02,0.000000000000000000e+00,1.956500646719588232e+01,-1.121184909362668414e+01,0.000000000000000000e+00
2.000000000000000042e-02,0.000000000000000000e+00,1.941026293533413138e+01,-1.825214182683147612e+01,0.000000000000000000e+00
2.999999999999999889e-02,0.000000000000000000e+00,1.918478208710498123e+01,-2.553509115192430556e+01,0.000000000000000000e+00
4.000000000000000083e-02,0.000000000000000000e+00,1.888131793055220342e+01,-3.364550322359809797e+01,0.000000000000000000e+00
5.000000000000000278e-02,0.000000000000000000e+00,1.849321044085390398e+01,-4.231688239124103745e+01,0.000000000000000000e+00
6.000000000000000472e-02,0.000000000000000000e+00,1.801591547512914460e+01,-5.138060283150029051e+01,0.000000000000000000e+00
6.999999999999999278e-02,0.000000000000000000e+00,1.744632388519867661e+01,-6.070509814470920418e+01,0.000000000000000000e+00
8.000000000000000167e-02,0.000000000000000000e+00,1.678264139098378394e+01,-7.012266164098828369e+01,0.000000000000000000e+00
8.999999999999999667e-02,0.000000000000000000e+00,1.606568197955070687e+01,-6.754563791017467622e+01,1.000000000000000000e+00
9.999999999999999167e-02,0.000000000000000000e+00,1.564647513090232067e+01,-2.167682693897358703e+01,1.000000000000000000e+00
1.100000000000000006e-01,0.000000000000000000e+00,1.567644539819632499e+01,1.625451397670430609e+01,1.000000000000000000e+00
1.199999999999999956e-01,0.000000000000000000e+00,1.593583977980797073e+01,2.914268603297808369e+01,1.000000000000000000e+00
1.300000000000000044e-01,0.000000000000000000e+00,1.619927821452740346e+01,2.293683815191484143e+01,1.000000000000000000e+00
1.400000000000000133e-01,0.000000000000000000e+00,1.636943024295220539e+01,1.306320555190911215e+01,1.000000000000000000e+00
1.500000000000000222e-01,0.000000000000000000e+00,1.644125275172418199e+01,3.410283268475543306e+00,1.000000000000000000e+00
1.600000000000000033e-01,0.000000000000000000e+00,1.643428407192410035e+01,-3.005781177773706681e+00,1.000000000000000000e+00
1.700000000000000122e-01,0.000000000000000000e+00,1.638507130429262659e+01,-5.573832879578033861e+00,1.000000000000000000e+00
1.800000000000000211e-01,0.000000000000000000e+00,1.634221828544643529e+01,-2.710918884352791380e+00,1.000000000000000000e+00
1.900000000000000022e-01,0.000000000000000000e+00,1.634502795125187546e+01,1.993634746959070059e+00,1.000000000000000000e+00
2.000000000000000111e-01,0.000000000000000000e+00,1.637238024377179357e+01,2.554221105116511570e+00,1.000000000000000000e+00
