time_s,forward_cm,sideways_cm,forward_speed_cm_s
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.824954106852702429e-01
1.000000000000000888e-02,2.594507281886377914e-01,-1.146496657411981770e-02,4.547916556848801406e+01
2.000000000000001776e-02,6.282780580317971486e-01,-5.523543901429280728e-03,3.422975144811434944e+01
3.000000000000001277e-02,1.136177770897665029e+00,1.434164885535161617e-02,5.738605224461412746e+01
4.000000000000002165e-02,1.580387166390676779e+00,1.279629155342331369e-02,4.184904499388565569e+01
5.000000000000003053e-02,2.024657643543839480e+00,3.117794058134308599e-02,4.407264668753185077e+01
6.000000000000003941e-02,2.464600712249342074e+00,4.356976620446907644e-02,4.390662993129669900e+01
7.000000000000004829e-02,2.905485902489884253e+00,5.981763940000341812e-02,4.392625658391000343e+01
8.000000000000005718e-02,3.345383029700705002e+00,7.432141022365797156e-02,4.384528908912871259e+01
9.000000000000006606e-02,3.784168839866845158e+00,9.049557678773302583e-02,4.374974925789922509e+01
1.000000000000000749e-01,4.221367650375534630e+00,1.059826070181910385e-01,4.361598292219521511e+01
1.100000000000000838e-01,4.657660136947838758e+00,1.221170650683528064e-01,4.353918002541060162e+01
1.200000000000000927e-01,5.067411462189031823e+00,1.227549599337464936e-01,3.903085734747000402e+01
1.300000000000001155e-01,5.499875818425408625e+00,1.546567465533785213e-01,4.313314611171788471e+01
1.400000000000001243e-01,5.925239371424820156e+00,1.466852754673279302e-01,4.014004440077905400e+01
1.500000000000000777e-01,6.351297441627165696e+00,1.887568840383376245e-01,4.335652852283898540e+01
1.600000000000000866e-01,6.751585697702434885e+00,1.937769238423504292e-01,3.597831564930583426e+01
1.700000000000000955e-01,7.180716577209899754e+00,2.249898426972909149e-01,4.508399133255731783e+01
1.800000000000001044e-01,7.597579115128971772e+00,2.457147977321198495e-01,3.955527556421202462e+01
1.900000000000001132e-01,8.027439991139676323e+00,2.560333387588396570e-01,4.511172907393374487e+01
2.000000000000001221e-01,8.445795776679384304e+00,2.915835077248656870e-01,3.975360754580654543e+01
2.100000000000001310e-01,8.875021831853091570e+00,2.916617333794800371e-01,4.545885807345282359e+01
2.200000000000001399e-01,9.314449806381547958e+00,3.332277025813553117e-01,4.406486294514099455e+01
2.300000000000001488e-01,9.753507503114285271e+00,3.366044002419195658e-01,4.369903459460233819e+01
2.400000000000001577e-01,1.015896477041657953e+01,3.551859528404587851e-01,3.836633592848172469e+01
2.500000000000001665e-01,1.057627399665595469e+01,3.720253519478963211e-01,4.371487117404780065e+01
2.600000000000001754e-01,1.099611261607143575e+01,3.789519326597143301e-01,4.105459832201566428e+01
2.700000000000001843e-01,1.152490214632977050e+01,3.964758730439815193e-01,6.104778953359544147e+01
2.800000000000001932e-01,1.218688329258442060e+01,3.924651119885827488e-01,7.002943933889638117e+01
2.900000000000002021e-01,1.303574113406388335e+01,3.875429658012323753e-01,9.461956400760864483e+01
