step,time_s,fixed_x_m,fixed_y_m,fixed_core_z_m,fixed_speed_mps,fixed_path_m,fixed_rods_on_rock,fixed_rods_over_pit,fixed_action,active_x_m,active_y_m,active_core_z_m,active_speed_mps,active_path_m,active_rods_on_rock,active_rods_over_pit,active_action
10,0.1,0.2127,0.1316,0.1994,0.192,0.011,0,0,roam_forward_cruise,0.2128,0.1316,0.1996,0.1923,0.012,0,0,roam_forward_cruise
20,0.2,0.2347,0.1259,0.2103,0.2488,0.034,0,0,roam_forward_cruise,0.2335,0.1251,0.2052,0.2543,0.033,0,0,roam_forward_cruise
30,0.3,0.2829,0.1135,0.2085,0.7216,0.084,0,0,roam_forward_cruise,0.284,0.1133,0.2189,0.6711,0.085,0,0,roam_forward_cruise
40,0.4,0.3673,0.1025,0.1906,0.889,0.169,0,0,roam_forward_cruise,0.3595,0.103,0.1966,0.8626,0.161,0,0,roam_forward_cruise
50,0.5,0.4737,0.0903,0.1901,1.1517,0.276,0,0,roam_forward_cruise,0.466,0.0953,0.1905,1.1827,0.268,0,0,roam_forward_cruise
60,0.6,0.5904,0.0743,0.1859,1.2116,0.394,0,0,roam_forward_cruise,0.5861,0.0844,0.1851,1.2415,0.389,0,0,roam_forward_cruise
70,0.7,0.7135,0.0587,0.1847,1.27,0.518,1,0,roam_forward_cruise,0.7123,0.0729,0.1828,1.289,0.515,1,0,roam_forward_cruise
80,0.8,0.8413,0.0457,0.1829,1.314,0.647,1,0,roam_forward_cruise,0.8427,0.0647,0.1864,1.3329,0.646,1,0,roam_forward_cruise
90,0.9,0.9649,0.0381,0.1901,0.9731,0.77,2,0,roam_forward_cruise,0.9637,0.0548,0.204,0.8994,0.768,3,0,roam_forward_cruise
100,1.0,1.034,-0.0232,0.206,0.9816,0.865,4,0,roam_curve_left,1.0231,0.002,0.236,0.8053,0.848,1,0,roam_curve_left
110,1.1,1.111,-0.0937,0.1855,1.1633,0.97,4,0,roam_curve_left,1.0791,-0.0563,0.1842,0.8334,0.929,3,0,roam_curve_left
120,1.2,1.1713,-0.1207,0.2286,0.4484,1.038,3,0,roam_curve_left,1.1578,-0.1176,0.2081,0.7521,1.029,2,0,roam_curve_left
130,1.3,1.2184,-0.1167,0.237,0.489,1.086,3,0,roam_curve_left,1.2172,-0.1351,0.2498,0.6001,1.091,3,0,roam_curve_left
140,1.4,1.2629,-0.0811,0.2129,0.7519,1.145,2,0,roam_curve_left,1.2763,-0.1385,0.241,0.6304,1.151,3,0,roam_curve_left
150,1.5,1.301,-0.0412,0.2095,0.3399,1.203,3,0,roam_curve_left,1.3464,-0.1114,0.2065,0.8314,1.226,1,0,roam_curve_left
160,1.6,1.3271,-0.0823,0.2046,0.8206,1.255,2,0,roam_curve_left,1.435,-0.0588,0.1889,1.2081,1.329,0,0,roam_curve_left
170,1.7,1.356,-0.1715,0.1933,0.9879,1.349,3,0,roam_curve_left,1.5337,0.0101,0.1863,1.2474,1.45,1,0,roam_curve_left
180,1.8,1.3848,-0.2524,0.1784,0.6896,1.435,0,0,roam_pivot_turn,1.6383,0.0828,0.1816,1.2718,1.577,2,0,roam_pivot_turn
190,1.9,1.3794,-0.3156,0.1921,0.6556,1.499,2,0,roam_pivot_turn,1.7447,0.1543,0.1837,1.3009,1.705,1,0,roam_pivot_turn
200,2.0,1.3539,-0.3812,0.185,0.7962,1.57,2,0,roam_pivot_turn,1.8481,0.1822,0.2072,1.1131,1.817,3,0,roam_pivot_turn
210,2.1,1.2998,-0.4412,0.1957,0.6529,1.651,2,0,roam_pivot_turn,1.962,0.1462,0.2071,1.2183,1.937,2,0,roam_pivot_turn
220,2.2,1.2606,-0.4436,0.2243,0.4276,1.696,4,0,roam_pivot_turn,2.0547,0.094,0.1879,0.9704,2.046,3,0,roam_pivot_turn
230,2.3,1.2357,-0.3962,0.2401,0.571,1.749,3,0,roam_stance_pause,2.085,-0.01,0.2193,1.1071,2.155,1,0,roam_stance_pause
240,2.4,1.2176,-0.3713,0.2167,0.1579,1.784,2,0,roam_stance_pause,2.1156,-0.1117,0.1922,0.9419,2.261,1,0,roam_stance_pause
250,2.5,1.2049,-0.3898,0.1989,0.2718,1.806,2,0,roam_stance_pause,2.14,-0.1965,0.2232,0.8668,2.349,0,0,roam_stance_pause
260,2.6,1.1935,-0.4091,0.2017,0.3211,1.829,2,0,roam_curve_right,2.1606,-0.2724,0.2155,0.7239,2.428,0,1,roam_curve_right
270,2.7,1.1612,-0.4496,0.2031,0.6746,1.881,3,0,roam_curve_right,2.1794,-0.3501,0.2068,0.9298,2.508,0,3,roam_curve_right
280,2.8,1.0985,-0.4938,0.2043,0.8407,1.958,3,0,roam_curve_right,2.1937,-0.4558,0.2022,1.2,2.615,3,5,roam_curve_right
290,2.9,1.0081,-0.5286,0.1922,0.9714,2.055,4,0,roam_curve_right,2.1975,-0.5715,0.1853,0.9801,2.731,2,7,roam_curve_right
300,3.0,0.9346,-0.5496,0.2067,0.6851,2.131,3,0,roam_curve_right,2.2569,-0.6506,0.182,1.0598,2.831,3,9,roam_curve_right
310,3.1,0.8892,-0.569,0.2086,0.5325,2.181,5,0,roam_curve_right,2.3208,-0.7323,0.1568,0.654,2.936,2,8,roam_curve_right
320,3.2,0.8276,-0.5916,0.2006,0.7529,2.247,5,0,roam_curve_right,2.3179,-0.7905,0.1779,0.5228,2.994,4,5,roam_curve_right
330,3.3,0.7355,-0.6179,0.1909,1.0312,2.342,2,0,roam_curve_right,2.2924,-0.8347,0.1953,0.5906,3.046,1,4,roam_curve_right
340,3.4,0.663,-0.6409,0.2199,0.4394,2.419,2,0,roam_curve_right,2.2445,-0.8771,0.1991,0.711,3.11,2,2,roam_curve_right
350,3.5,0.6338,-0.6698,0.2371,0.4184,2.46,2,0,roam_curve_right,2.1972,-0.9171,0.2156,0.4118,3.172,1,1,roam_curve_right
360,3.6,0.6154,-0.708,0.2175,0.6142,2.504,1,0,roam_curve_right,2.1861,-0.9461,0.2121,0.319,3.203,1,1,roam_curve_right
370,3.7,0.6104,-0.7732,0.186,0.6329,2.57,1,0,roam_forward_cruise,2.2015,-0.9824,0.1918,0.4913,3.244,4,0,roam_forward_cruise
380,3.8,0.6118,-0.8031,0.2198,0.14,2.6,1,0,roam_forward_cruise,2.2471,-1.0007,0.2205,0.5324,3.295,1,0,roam_forward_cruise
390,3.9,0.6173,-0.8161,0.2217,0.1219,2.614,1,0,roam_forward_cruise,2.3018,-0.9998,0.2156,0.6152,3.35,3,0,roam_forward_cruise
400,4.0,0.6282,-0.801,0.2171,0.3438,2.635,0,0,roam_forward_cruise,2.3733,-0.9531,0.2103,0.994,3.436,1,1,roam_forward_cruise
410,4.1,0.6477,-0.7538,0.2112,0.7727,2.686,0,0,roam_forward_cruise,2.4547,-0.8766,0.188,1.2418,3.548,2,2,roam_forward_cruise
420,4.2,0.6762,-0.6808,0.1964,0.7662,2.765,2,0,roam_forward_cruise,2.5073,-0.8261,0.2372,0.3828,3.621,4,2,roam_forward_cruise
430,4.3,0.7343,-0.6165,0.1947,0.9669,2.852,3,0,roam_forward_cruise,2.5386,-0.8065,0.2569,0.3396,3.658,4,0,roam_forward_cruise
440,4.4,0.79,-0.534,0.1941,0.9602,2.951,2,0,roam_forward_cruise,2.5595,-0.7982,0.2538,0.168,3.681,3,0,roam_forward_cruise
450,4.5,0.8242,-0.4592,0.2063,0.5234,3.034,3,0,roam_forward_cruise,2.5759,-0.8024,0.252,0.1824,3.698,3,0,roam_forward_cruise
460,4.6,0.8265,-0.4309,0.2329,0.1507,3.063,2,0,roam_curve_left,2.5951,-0.804,0.2487,0.1803,3.718,3,0,boundary_turn_inward
470,4.7,0.8092,-0.4272,0.2438,0.3263,3.083,2,0,roam_curve_left,2.609,-0.8113,0.2502,0.154,3.733,3,0,boundary_turn_inward
480,4.8,0.7608,-0.4557,0.2496,0.7506,3.139,1,0,roam_curve_left,2.6154,-0.8225,0.2426,0.1078,3.747,3,0,boundary_turn_inward
490,4.9,0.6864,-0.5023,0.2065,0.9787,3.227,3,0,roam_curve_left,2.6111,-0.8319,0.244,0.1485,3.757,3,0,roam_curve_left
500,5.0,0.6672,-0.5159,0.2124,0.4783,3.27,2,0,roam_curve_left,2.6019,-0.8504,0.2439,0.2493,3.778,3,0,roam_curve_left
510,5.1,0.7269,-0.4773,0.2191,0.7277,3.341,3,0,roam_curve_left,2.586,-0.8837,0.2346,0.4612,3.815,2,0,roam_curve_left
520,5.2,0.7694,-0.454,0.2167,0.3262,3.389,4,0,roam_curve_left,2.5624,-0.935,0.2135,0.7093,3.871,2,0,boundary_turn_inward
530,5.3,0.7918,-0.4429,0.2153,0.1338,3.414,4,0,roam_curve_left,2.5304,-1.0019,0.1814,0.8014,3.946,1,0,boundary_turn_inward
540,5.4,0.7755,-0.4423,0.2159,0.4298,3.434,4,0,roam_pivot_turn,2.4912,-1.0685,0.1883,0.6854,4.023,1,0,roam_pivot_turn
550,5.5,0.7273,-0.4219,0.2008,0.5256,3.487,3,0,roam_pivot_turn,2.4407,-1.1213,0.1854,0.7881,4.096,0,0,roam_pivot_turn
560,5.6,0.6904,-0.3721,0.1897,0.6936,3.55,3,0,roam_pivot_turn,2.3706,-1.1545,0.1922,0.7886,4.174,1,0,roam_pivot_turn
570,5.7,0.6611,-0.3239,0.19,0.4491,3.607,3,0,roam_pivot_turn,2.2849,-1.1747,0.1866,0.9623,4.263,1,0,roam_pivot_turn
580,5.8,0.6483,-0.2751,0.2012,0.5118,3.657,1,0,roam_pivot_turn,2.1899,-1.1864,0.1833,0.9862,4.358,0,0,roam_pivot_turn
590,5.9,0.6467,-0.2182,0.184,0.6023,3.714,2,0,roam_stance_pause,2.0889,-1.1862,0.1891,1.015,4.46,1,0,roam_stance_pause
600,6.0,0.6492,-0.1618,0.2064,0.5629,3.771,1,0,roam_stance_pause,2.0235,-1.1891,0.2383,0.3911,4.525,1,0,roam_stance_pause
610,6.1,0.6506,-0.1153,0.2081,0.3654,3.817,0,0,roam_stance_pause,1.9835,-1.1996,0.2381,0.3719,4.567,1,0,roam_stance_pause
620,6.2,0.6505,-0.0853,0.2018,0.2689,3.847,0,0,roam_curve_right,1.9541,-1.2155,0.2059,0.2871,4.6,0,0,roam_curve_right
630,6.3,0.6607,-0.0486,0.203,0.5448,3.886,0,0,roam_curve_right,1.9177,-1.2471,0.2083,0.7226,4.648,0,0,roam_curve_right
640,6.4,0.6983,0.014,0.21,0.8411,3.959,0,0,roam_curve_right,1.8471,-1.2917,0.2068,0.8903,4.732,0,0,roam_curve_right
650,6.5,0.7566,0.0892,0.187,1.0686,4.054,0,0,roam_curve_right,1.7544,-1.3413,0.1897,1.0669,4.837,0,0,roam_curve_right
660,6.6,0.8376,0.1765,0.1896,1.2162,4.173,1,0,roam_curve_right,1.6508,-1.381,0.1898,1.1413,4.948,0,0,roam_curve_right
670,6.7,0.9223,0.2629,0.1908,1.0623,4.294,2,0,roam_curve_right,1.5332,-1.4145,0.1861,1.2637,5.071,0,0,roam_curve_right
680,6.8,0.965,0.3596,0.1874,1.0873,4.4,2,0,roam_curve_right,1.4072,-1.4432,0.1835,1.2961,5.2,0,3,roam_curve_right
690,6.9,1.016,0.4646,0.1888,1.2201,4.517,2,1,roam_curve_right,1.2821,-1.4688,0.1971,1.2798,5.327,1,6,roam_curve_right
700,7.0,1.0691,0.5645,0.2001,0.9614,4.63,0,1,roam_curve_right,1.1519,-1.4996,0.159,1.3759,5.461,2,10,roam_curve_right
710,7.1,1.1034,0.6509,0.1938,0.9474,4.723,0,2,roam_curve_right,1.0616,-1.5481,0.1924,0.8792,5.566,2,8,roam_curve_right
720,7.2,1.1348,0.7476,0.1937,1.0254,4.825,1,3,roam_curve_right,1.004,-1.615,0.2055,0.8795,5.655,4,4,roam_curve_right
730,7.3,1.1677,0.845,0.1655,1.0638,4.928,1,5,roam_forward_cruise,0.9492,-1.6691,0.1779,0.5296,5.732,2,5,roam_forward_cruise
740,7.4,1.2032,0.9402,0.1975,0.9249,5.03,0,3,roam_forward_cruise,0.9073,-1.6892,0.2167,0.4897,5.779,1,3,roam_forward_cruise
750,7.5,1.2205,1.0303,0.2275,0.9294,5.121,1,2,roam_forward_cruise,0.8754,-1.7209,0.2125,0.4472,5.824,2,2,roam_forward_cruise
760,7.6,1.2207,1.1146,0.2204,0.7816,5.208,1,0,roam_forward_cruise,0.8482,-1.7542,0.2238,0.4162,5.867,1,1,roam_forward_cruise
770,7.7,1.1698,1.1706,0.2585,0.7562,5.284,0,0,roam_forward_cruise,0.8036,-1.7636,0.2236,0.4844,5.913,1,0,roam_forward_cruise
780,7.8,1.1175,1.2244,0.2062,0.7378,5.359,1,0,roam_forward_cruise,0.748,-1.7777,0.2175,0.7438,5.971,1,0,roam_forward_cruise
790,7.9,1.0432,1.3,0.189,1.2489,5.465,2,0,roam_forward_cruise,0.6644,-1.7855,0.2151,0.7821,6.055,1,0,roam_forward_cruise
800,8.0,0.9514,1.3813,0.1899,1.1155,5.588,5,0,roam_forward_cruise,0.5725,-1.7725,0.1983,1.0874,6.148,1,0,roam_forward_cruise
810,8.1,0.8514,1.4235,0.1884,1.0727,5.697,8,0,roam_forward_cruise,0.4531,-1.7495,0.1864,1.2966,6.27,1,0,roam_forward_cruise
820,8.2,0.7555,1.4306,0.2053,0.9902,5.793,9,0,roam_curve_left,0.3243,-1.7237,0.181,1.3304,6.401,0,0,roam_curve_left
830,8.3,0.6531,1.4086,0.2021,1.137,5.899,8,0,roam_curve_left,0.1902,-1.7085,0.1919,1.3593,6.536,1,0,roam_curve_left
840,8.4,0.5413,1.3569,0.1875,1.2969,6.022,6,0,roam_curve_left,0.0529,-1.6958,0.1914,1.3452,6.674,2,0,roam_curve_left
850,8.5,0.4747,1.3378,0.2109,0.4304,6.095,5,0,roam_curve_left,-0.062,-1.6954,0.2254,1.0385,6.789,3,0,roam_curve_left
860,8.6,0.448,1.3867,0.2132,0.6582,6.151,6,0,roam_curve_left,-0.164,-1.7129,0.214,1.0721,6.893,3,0,roam_curve_left
870,8.7,0.4186,1.4255,0.2163,0.3954,6.203,7,0,roam_curve_left,-0.2714,-1.7535,0.1786,1.1878,7.008,2,0,roam_curve_left
880,8.8,0.377,1.4216,0.2189,0.5103,6.245,4,0,roam_curve_left,-0.3693,-1.7959,0.2024,1.0252,7.114,1,0,roam_curve_left
890,8.9,0.3352,1.3809,0.2163,0.7299,6.304,3,0,roam_curve_left,-0.4644,-1.8366,0.1882,1.0881,7.218,0,0,roam_curve_left
900,9.0,0.2863,1.3358,0.1955,0.7843,6.374,3,0,roam_pivot_turn,-0.5681,-1.8819,0.1819,1.1533,7.331,2,0,roam_pivot_turn
910,9.1,0.1828,1.3517,0.1805,1.0985,6.479,1,0,roam_pivot_turn,-0.6789,-1.9194,0.1852,1.1846,7.448,0,0,roam_pivot_turn
