step,time_s,ball_x,ball_y,radius_m,distance_to_edge_m,speed_mps,v_radial_mps,sub_skill,action_name,is_boundary_active
10,0.1,0.2265,0.146,0.2694,1.7306,0.2811,0.2616,move,roam_forward_cruise,0
20,0.2,0.2564,0.1387,0.2915,1.7085,0.4319,0.4237,move,roam_forward_cruise,0
30,0.3,0.3088,0.1233,0.3325,1.6675,0.6198,0.5584,move,roam_forward_cruise,0
40,0.4,0.3691,0.1044,0.3836,1.6164,0.7036,0.6478,move,roam_forward_cruise,0
50,0.5,0.4325,0.0901,0.4418,1.5582,0.6892,0.6727,move,roam_forward_cruise,0
60,0.6,0.5023,0.0805,0.5087,1.4913,0.6815,0.6797,move,roam_forward_cruise,0
70,0.7,0.5747,0.0788,0.5801,1.4199,0.6035,0.5607,move,roam_forward_cruise,0
80,0.8,0.6443,0.0746,0.6486,1.3514,0.5761,0.5411,move,roam_forward_cruise,0
90,0.9,0.7162,0.0697,0.7196,1.2804,0.5643,0.5425,move,roam_forward_cruise,0
100,1.0,0.7892,0.0622,0.7917,1.2083,0.5838,0.5837,curve,roam_curve_left,0
110,1.1,0.8572,0.0589,0.8592,1.1408,0.6221,0.6213,curve,roam_curve_left,0
120,1.2,0.9239,0.0603,0.9259,1.0741,0.6729,0.6722,curve,roam_curve_left,0
130,1.3,0.9906,0.0601,0.9924,1.0076,0.7111,0.7105,curve,roam_curve_left,0
140,1.4,1.0569,0.0632,1.0588,0.9412,0.7545,0.7539,curve,roam_curve_left,0
150,1.5,1.1276,0.0675,1.1296,0.8704,0.7922,0.7907,curve,roam_curve_left,0
160,1.6,1.1969,0.0713,1.199,0.801,0.7867,0.7864,curve,roam_curve_left,0
170,1.7,1.2651,0.0734,1.2673,0.7327,0.7363,0.7362,curve,roam_curve_left,0
180,1.8,1.3307,0.062,1.3321,0.6679,0.7242,0.6742,turn,roam_pivot_turn,0
190,1.9,1.3936,0.0321,1.394,0.606,0.7293,0.5991,turn,boundary_turn_inward,1
200,2.0,1.442,-0.0207,1.4422,0.5578,0.7073,0.3992,turn,boundary_turn_inward,1
210,2.1,1.4753,-0.0841,1.4777,0.5223,0.7054,0.2025,turn,boundary_turn_inward,1
220,2.2,1.4832,-0.1556,1.4914,0.5086,0.723,0.0804,turn,boundary_turn_inward,1
230,2.3,1.4743,-0.2273,1.4917,0.5083,0.7316,-0.0638,stop,roam_stance_pause,0
240,2.4,1.4534,-0.2965,1.4833,0.5167,0.8822,-0.1669,stop,roam_stance_pause,0
250,2.5,1.4283,-0.3606,1.4731,0.5269,0.7841,-0.1848,stop,roam_stance_pause,0
260,2.6,1.4054,-0.4137,1.4651,0.5349,0.553,-0.0243,turn,boundary_turn_inward,1
270,2.7,1.3867,-0.4607,1.4612,0.5388,0.5673,0.161,turn,boundary_turn_inward,1
280,2.8,1.3567,-0.5053,1.4478,0.5522,0.5685,-0.0247,turn,boundary_turn_inward,1
290,2.9,1.3206,-0.5507,1.4308,0.5692,0.5779,-0.1497,curve,roam_curve_right,0
300,3.0,1.2787,-0.5971,1.4112,0.5888,0.6392,-0.1596,curve,roam_curve_right,0
310,3.1,1.2311,-0.6473,1.3909,0.6091,0.7174,-0.1687,curve,roam_curve_right,0
320,3.2,1.1789,-0.7,1.371,0.629,0.781,-0.1621,curve,roam_curve_right,0
330,3.3,1.1216,-0.7589,1.3542,0.6458,0.8409,-0.1488,curve,roam_curve_right,0
340,3.4,1.0654,-0.8181,1.3432,0.6568,0.8224,-0.0966,curve,roam_curve_right,0
350,3.5,1.0076,-0.8791,1.3372,0.6628,0.8427,-0.0219,curve,roam_curve_right,0
360,3.6,0.9493,-0.9426,1.3378,0.6622,0.8932,0.0297,curve,roam_curve_right,0
370,3.7,0.9057,-0.9889,1.341,0.659,0.466,-0.001,move,roam_forward_cruise,0
380,3.8,0.8752,-1.0132,1.3389,0.6611,0.3261,-0.041,move,roam_forward_cruise,0
390,3.9,0.866,-1.0035,1.3256,0.6744,0.4136,-0.2802,move,roam_forward_cruise,0
400,4.0,0.8746,-0.9488,1.2904,0.7096,0.6589,-0.3906,move,roam_forward_cruise,0
410,4.1,0.8911,-0.873,1.2474,0.7526,0.8096,-0.4264,move,roam_forward_cruise,0
420,4.2,0.9106,-0.7916,1.2066,0.7934,0.8686,-0.3945,move,roam_forward_cruise,0
430,4.3,0.9319,-0.7076,1.1702,0.8298,0.8544,-0.3309,move,roam_forward_cruise,0
440,4.4,0.9525,-0.6236,1.1385,0.8615,0.8865,-0.2994,move,roam_forward_cruise,0
450,4.5,0.9733,-0.5346,1.1104,0.8896,0.9105,-0.2565,move,roam_forward_cruise,0
460,4.6,0.9922,-0.4458,1.0878,0.9122,0.9153,-0.2003,curve,roam_curve_left,0
470,4.7,1.0119,-0.3541,1.0721,0.9279,0.9492,-0.1238,curve,roam_curve_left,0
480,4.8,1.0322,-0.2604,1.0646,0.9354,0.964,-0.0282,curve,roam_curve_left,0
490,4.9,1.0549,-0.1652,1.0678,0.9322,0.9929,0.0837,curve,roam_curve_left,0
500,5.0,1.0792,-0.0697,1.0814,0.9186,0.9885,0.1999,curve,roam_curve_left,0
