time_s,step,contact_number,phase,x_m,y_m,z_m,vx_m_s,vy_m_s,gap_to_wall_cm
0.0,0,0,approach,5.333205214432056e-05,-0.14996067985842562,0.16555536564898046,0.004824954106852687,-0.00773565762125555,15.003932014157442
0.01,1,0,approach,0.0010727415187579898,-0.15125427461771523,0.16673172750469048,0.15177325099271405,-0.18468420247294665,14.874572538228477
0.02,2,0,approach,0.002785676914485787,-0.15321534522855396,0.17289943395669585,0.16565264943298605,-0.17822719210232138,14.678465477144606
0.03,3,0,approach,0.0050303434677670435,-0.15586312876409014,0.18140567748572434,0.2638870128143509,-0.3233171346555102,14.413687123590988
0.04,4,0,approach,0.0070715393636839735,-0.158197053147301,0.18919905576043783,0.1639572321285584,-0.17197091917353308,14.180294685269903
0.05,5,0,approach,0.008964146066553266,-0.16033947732824022,0.19589221225633605,0.19959518881079757,-0.22401329520196858,13.96605226717598
0.06,6,0,approach,0.010767590093886649,-0.16235998578882896,0.20161084602652435,0.16628132520171182,-0.18320793474279495,13.764001421117102
0.07,7,0,approach,0.012636072875831772,-0.1644819661988717,0.20631641453056362,0.20007843419300123,-0.23024220141451993,13.551803380112828
0.08,8,0,approach,0.014429445756516822,-0.16650279155269937,0.21003285297700527,0.16504471891817546,-0.18193599959717233,13.349720844730065
0.09,9,0,approach,0.01611123257523262,-0.16837021355485943,0.21278016434659983,0.16998365258047266,-0.1888452238743727,13.162978644514059
0.1,10,0,approach,0.017835881764798077,-0.17029626491141786,0.21452956075946672,0.17361961929105071,-0.19383404175451857,12.970373508858216
0.11,11,0,approach,0.019588801402456776,-0.17226069908335298,0.21528327017381332,0.17605535197125172,-0.19713662600553683,12.7739300916647
0.12,12,0,approach,0.021361173141670586,-0.17425148337367005,0.2150455504525591,0.17769905204618672,-0.19936926580767048,12.574851662632994
0.13,13,0,approach,0.023146776389636182,-0.1762603582474287,0.2138195943836654,0.17881548929991758,-0.2009042976168049,12.373964175257132
0.14,14,0,approach,0.024941305981636467,-0.1782816725535451,0.21160757902323662,0.17954884325917508,-0.20192441940980022,12.171832744645492
0.15,15,0,approach,0.02674165935165659,-0.18031123404225674,0.20841071420588447,0.1800495572799427,-0.20263966354229532,11.968876595774327
0.16,16,0,approach,0.028546076765870083,-0.18234673731244136,0.20423027979263875,0.18037764504544326,-0.20311919208607015,11.765326268755864
0.17,17,0,approach,0.030351397261978635,-0.1843723936192525,0.19908509273389444,0.17995941307575672,-0.19959300858465207,11.562760638074751
0.18,18,0,approach,0.03212507119686295,-0.18631506027979539,0.19318278979798226,0.17568905553481728,-0.1903956527243038,11.368493972020463
0.19,19,0,approach,0.03393996928465341,-0.18829749299256496,0.1869759823877159,0.18636280525250473,-0.20541840750356666,11.170250700743503
0.2,20,0,approach,0.036053960997173305,-0.19066077473148912,0.1813976674379819,0.2312842899965199,-0.25885159526702345,10.93392252685109
0.21,21,0,approach,0.0388177896577143,-0.1937256944033427,0.1776907725670149,0.30777711354213433,-0.33898368182644795,10.627430559665733
0.22,22,0,approach,0.04245700332065738,-0.1977094038598032,0.17666637433028778,0.3983786153409063,-0.43474154278352395,10.229059614019679
0.23,23,0,approach,0.04692868611497386,-0.20260507460947103,0.17828727881377737,0.4667089028432589,-0.5161209056138034,9.739492539052899
0.24,24,0,approach,0.05184039312144803,-0.20798574109386586,0.18187806694805755,0.5035880687915145,-0.5476139067349286,9.201425890613416
0.25,25,1,approach,0.05700174414981231,-0.2138034752199093,0.18596061924190413,0.5245031923638286,-0.6015199518481432,8.61965247800907
0.26,26,1,brace,0.062175021611106884,-0.2195756637139252,0.18939644440178632,0.5098189413967514,-0.5553522439828968,8.042433628607482
0.27,27,1,brace,0.06653626944451325,-0.2191560986183006,0.1920192622802552,0.3830118507262533,0.497959952378317,8.084390138169942
0.28,28,1,brace,0.07089663330482425,-0.2081150491244223,0.19552902992926088,0.4626778967814087,1.4512077922957367,9.188495087557772
0.29,29,1,brace,0.07494977718120442,-0.1904225084053224,0.1996403937626558,0.4109799020992424,1.8734594292283782,10.957749159467758
0.3,30,1,brace,0.07907896504145777,-0.1707338725106262,0.20368100834176334,0.41548207972946494,2.0173774605556387,12.926612748937385
0.31,31,1,brace,0.08327219895742423,-0.15055189222282428,0.20687686421798482,0.42235098168254975,2.0103128455533645,14.944810777717574
0.32,32,1,brace,0.08750917845762418,-0.1305393259363641,0.20905994669889394,0.4259088307696744,1.995291482725532,16.94606740636359
0.33,33,1,brace,0.09177098674612977,-0.11065066209633485,0.210239423966803,0.4279174206919507,1.9847598295711653,18.934933790366518
0.34,34,1,brace,0.09604528194874656,-0.09085129190935734,0.21042600642219225,0.42899457995476026,1.975974519735914,20.914870809064272
0.35000000000000003,35,1,brace,0.1003288096768473,-0.07124298666002507,0.2097681932039488,0.4297583555447067,1.9472852948397021,22.87570133399749
0.36,36,1,brace,0.10461666190751834,-0.05202719695253794,0.20853156543278625,0.42995698904605023,1.9052864560627978,24.79728030474621
0.37,37,1,brace,0.10890687222893136,-0.033312410006615695,0.2068548613479383,0.43024109192947074,1.8467380026846005,26.668758999338426
0.38,38,1,brace,0.11318577524318943,-0.01528146269426839,0.204958386173245,0.4293966249600113,1.7703049041944199,28.47185373057316
0.39,39,1,brace,0.11738246545840608,0.001980956493117531,0.20299071562139506,0.4186118018720008,1.6987979198111498,30.198095649311753
0.4,40,1,brace,0.12147029391756163,0.018563916040703635,0.20103964371393862,0.4033777611348325,1.6332820164079063,31.856391604070367
0.41000000000000003,41,1,brace,0.12539596710090053,0.03455221571508535,0.19934406543677874,0.385978631166858,1.5776654325729642,33.45522157150853
0.42,42,1,shove,0.12914167032195806,0.050043343763801484,0.19823768553264876,0.3685744812635458,1.5332051493504582,35.00433437638014
0.43,43,1,shove,0.13277236801534753,0.06542348717979932,0.19752525024773132,0.3600321008852509,1.5203194937414564,36.542348717979934
0.44,44,1,shove,0.1363247921175218,0.08021204637373537,0.1969095710640817,0.35527130939031704,1.4523843661881617,38.02120463737354
0.45,45,1,shove,0.13985503781592765,0.09500086190585945,0.19612205756363302,0.3551784454724102,1.4658458191782522,39.50008619058595
0.46,46,1,shove,0.14340166373972468,0.10946289455310199,0.19560235769229656,0.35998189904856737,1.4366317837207294,40.94628945531019
0.47000000000000003,47,1,shove,0.14704071670057686,0.12368310112736505,0.19556955783666624,0.3679814589272287,1.4125593864429742,42.36831011273651
0.48,48,1,shove,0.15075684331590444,0.13764763765120427,0.19634578803689443,0.3732279416316033,1.3891835754765216,43.76476376512043
0.49,49,1,shove,0.1544769560234114,0.15142457957208766,0.19806525389827992,0.3705485051512494,1.3742617920381406,45.14245795720876
0.5,50,1,shove,0.15808300782375126,0.16510827826255917,0.2000123519160469,0.35607292074301233,1.3655401865403836,46.51082782625592
0.51,51,1,shove,0.1615588696148085,0.17871235208295308,0.20199341750698083,0.34383924142695194,1.3575533147833234,47.8712352082953
0.52,52,1,shove,0.16495898378918747,0.1920292419655226,0.20408221289115971,0.34101470372023857,1.3474709236131217,49.20292419655225
0.53,53,1,shove,0.16835469916687065,0.20548315213536986,0.20568981455451504,0.3421233726166516,1.3413786261791254,50.54831521353699
0.54,54,1,shove,0.1717657975136535,0.218857922480735,0.20691951519256122,0.3444736339575395,1.3339565348878397,51.88579224807349
0.55,55,1,shove,0.17524018700731736,0.23218037476900802,0.20774527310704244,0.3505042106935541,1.3308643539054614,53.218037476900804
0.56,56,1,shove,0.17876244134278907,0.24544018158373154,0.2078339565318745,0.35476742922224397,1.3255920423247645,54.544018158373156
0.5700000000000001,57,1,shove,0.18231061277442187,0.2587108877551054,0.2070617297217732,0.35653042288373343,1.3311401112040697,55.871088775510536
0.58,58,1,shove,0.18586048317147696,0.27204310674173654,0.20558560667980444,0.35644137724971714,1.3355144783970836,57.204310674173655
0.59,59,1,shove,0.18941157681117704,0.2853777673568404,0.20356109846039433,0.3558018451697069,1.332152378273866,58.53777673568404
0.6,60,1,shove,0.19291714219197295,0.2984195663424971,0.20142116387297876,0.3528321277683824,1.3211619907410996,59.841956634249705
0.61,61,1,shove,0.1964292365683645,0.3116218530861499,0.1989879133886345,0.35079102901827713,1.3157042257141875,61.162185308614994
0.62,62,1,shove,0.1999033849293404,0.32474016663060873,0.19679401152174242,0.3453861484622708,1.309841595454244,62.47401666306087
0.63,63,1,shove,0.2033201488821301,0.33775841504282117,0.19537088177549136,0.34148999415005454,1.2970930528568163,63.77584150428211
0.64,64,1,shove,0.20673110624271238,0.3506488481040126,0.194995569382375,0.34221170469558826,1.2847026642718031,65.06488481040125
0.65,65,1,shove,0.21016839277662014,0.3634462820211232,0.19575054655430832,0.3454168191840026,1.2774473860530013,66.34462820211232
0.66,66,1,shove,0.21361167220961355,0.3761639292731442,0.1968842614237791,0.3437471449633307,1.2691425617954115,67.61639292731442
0.67,67,1,shove,0.2170092324159029,0.3887746579162463,0.19804966534668045,0.33922237567294194,1.258142090718776,68.87746579162463
0.68,68,1,shove,0.22032488543790527,0.40116588948745896,0.1994407842904192,0.3370180902490826,1.2524072987242736,70.1165889487459
0.6900000000000001,69,1,shove,0.22368576509045948,0.4136921922479167,0.20083159965161348,0.3350325651695592,1.2521943595488836,71.36921922479166
